NetBenchWithContentionMpiSsend_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^22	0.594967	56.397121
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000090	0.088520
Send/Recv	2^1	0.000097	0.165218
Send/Recv	2^2	0.000097	0.330891
Send/Recv	2^3	0.000101	0.631673
Send/Recv	2^4	0.000104	1.236637
Send/Recv	2^5	0.000101	2.537384
Send/Recv	2^6	0.000079	6.504128
Send/Recv	2^7	0.000079	12.967606
Send/Recv	2^8	0.000104	19.700361
Send/Recv	2^9	0.000127	32.167995
Send/Recv	2^10	0.000153	53.562616
Send/Recv	2^11	0.000257	63.807079
Send/Recv	2^12	0.000592	55.332655
Send/Recv	2^13	0.001161	56.469800
Send/Recv	2^14	0.001747	75.046706
Send/Recv	2^15	0.003785	69.254032
Send/Recv	2^16	0.008456	61.999465
Send/Recv	2^17	0.017449	60.093292
Send/Recv	2^18	0.036521	57.423238
Send/Recv	2^19	0.073725	56.891034
Send/Recv	2^20	0.147481	56.879352
Send/Recv	2^21	0.297132	56.463756
Send/Recv	2^22	0.595320	56.363717
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000092	0.087202
Send/Recv	2^1	0.000083	0.193895
Send/Recv	2^2	0.000084	0.379830
Send/Recv	2^3	0.000104	0.617988
Send/Recv	2^4	0.000104	1.225639
Send/Recv	2^5	0.000084	3.032039
Send/Recv	2^6	0.000100	5.112168
Send/Recv	2^7	0.000105	9.725137
Send/Recv	2^8	0.000105	19.536797
Send/Recv	2^9	0.000113	36.141266
Send/Recv	2^10	0.000161	50.783264
Send/Recv	2^11	0.000238	68.925766
Send/Recv	2^12	0.000412	79.448843
Send/Recv	2^13	0.001273	51.472301
Send/Recv	2^14	0.001780	73.651430
Send/Recv	2^15	0.004313	60.774204
Send/Recv	2^16	0.009057	57.888326
Send/Recv	2^17	0.017687	59.285597
Send/Recv	2^18	0.036895	56.840908
Send/Recv	2^19	0.074237	56.498883
Send/Recv	2^20	0.148455	56.505963
Send/Recv	2^21	0.297166	56.457477
Send/Recv	2^22	0.594920	56.401585
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000088	0.090765
Send/Recv	2^1	0.000103	0.155202
Send/Recv	2^2	0.000103	0.311090
Send/Recv	2^3	0.000087	0.735818
Send/Recv	2^4	0.000079	1.613897
Send/Recv	2^5	0.000078	3.296015
Send/Recv	2^6	0.000081	6.355296
Send/Recv	2^7	0.000083	12.339718
Send/Recv	2^8	0.000103	19.841020
Send/Recv	2^9	0.000106	38.740925
Send/Recv	2^10	0.000159	51.477673
Send/Recv	2^11	0.000213	76.794526
