nohup: can't execute './tests1.sh': Exec format error
NetBenchWithContention_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^9	0.000115	35.653519
Send/Recv	2^10	0.000184	44.600891
Send/Recv	2^11	0.000221	74.054823
Send/Recv	2^12	0.000378	86.798040
Send/Recv	2^13	0.000757	86.589328
Send/Recv	2^14	0.001336	98.106755
Send/Recv	2^15	0.002525	103.806969
Send/Recv	2^16	0.004847	108.160955
Send/Recv	2^17	0.009489	110.501596
Send/Recv	2^18	0.018780	111.668157
Send/Recv	2^19	0.037593	111.570969
Send/Recv	2^20	0.074599	112.449309
Send/Recv	2^21	0.148999	112.599869
Send/Recv	2^22	0.297918	112.629751
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151123
Send/Recv	2^1	0.000053	0.302282
Send/Recv	2^2	0.000053	0.604668
Send/Recv	2^3	0.000053	1.209582
Send/Recv	2^4	0.000053	2.418796
Send/Recv	2^5	0.000054	4.731229
Send/Recv	2^6	0.000058	8.755993
Send/Recv	2^7	0.000068	14.988383
Send/Recv	2^8	0.000103	19.879120
Send/Recv	2^9	0.000114	35.843060
Send/Recv	2^10	0.000183	44.646323
Send/Recv	2^11	0.000221	74.024363
Send/Recv	2^12	0.000377	86.893109
Send/Recv	2^13	0.000772	84.909559
Send/Recv	2^14	0.001330	98.579170
Send/Recv	2^15	0.002522	103.956507
Send/Recv	2^16	0.004848	108.146073
Send/Recv	2^17	0.009669	108.446501
Send/Recv	2^18	0.018993	110.419168
Send/Recv	2^19	0.037394	112.165019
Send/Recv	2^20	0.074737	112.241057
Send/Recv	2^21	0.149071	112.545505
Send/Recv	2^22	0.297754	112.691721
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151108
Send/Recv	2^1	0.000053	0.302285
Send/Recv	2^2	0.000053	0.604621
Send/Recv	2^3	0.000053	1.209644
Send/Recv	2^4	0.000053	2.418636
Send/Recv	2^5	0.000054	4.724970
Send/Recv	2^6	0.000058	8.760873
Send/Recv	2^7	0.000068	14.956704
Send/Recv	2^8	0.000104	19.651053
Send/Recv	2^9	0.000114	35.927937
Send/Recv	2^10	0.000184	44.640375
Send/Recv	2^11	0.000222	73.868524
Send/Recv	2^12	0.000377	86.873532
Send/Recv	2^13	0.000757	86.522281
Send/Recv	2^14	0.001336	98.107379
Send/Recv	2^15	0.002525	103.816485
Send/Recv	2^16	0.004847	108.170918
Send/Recv	2^17	0.009489	110.509306
Send/Recv	2^18	0.018780	111.668588
Send/Recv	2^19	0.037398	112.153519
Send/Recv	2^20	0.074587	112.467650
Send/Recv	2^21	0.148982	112.612610
Send/Recv	2^22	0.297745	112.695252
NetBenchWithContention_O3_native_4b
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151284
Send/Recv	2^1	0.000053	0.302440
Send/Recv	2^2	0.000053	0.605415
Send/Recv	2^3	0.000053	1.210945
Send/Recv	2^4	0.000056	2.292783
Send/Recv	2^5	0.000078	3.277070
Send/Recv	2^6	0.000079	6.469087
Send/Recv	2^7	0.000079	13.043518
Send/Recv	2^8	0.000098	20.820941
Send/Recv	2^9	0.000105	39.049881
Send/Recv	2^10	0.000157	52.095051
Send/Recv	2^11	0.000235	69.696918
Send/Recv	2^12	0.000370	88.616889
Send/Recv	2^13	0.001011	64.852776
Send/Recv	2^14	0.001680	78.024271
Send/Recv	2^15	0.003229	81.185224
Send/Recv	2^16	0.008306	63.120828
Send/Recv	2^17	0.017987	58.297132
Send/Recv	2^18	0.036681	57.172546
Send/Recv	2^19	0.073875	56.775660
Send/Recv	2^20	0.148270	56.576479
Send/Recv	2^21	0.297311	56.429944
Send/Recv	2^22	0.594626	56.429435
