nohup: zignorowane dane wejściowe
NetBenchWithContention_O3_native_4b
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^15	0.005560	47.149571
Send/Recv	2^16	0.009711	53.989418
Send/Recv	2^17	0.019772	53.034468
Send/Recv	2^18	0.043103	48.654108
Send/Recv	2^19	0.085376	49.127185
Send/Recv	2^20	0.171972	48.778856
Send/Recv	2^21	0.343469	48.846310
Send/Recv	2^22	0.689188	48.686890
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151008
Send/Recv	2^1	0.000053	0.302118
Send/Recv	2^2	0.000053	0.604509
Send/Recv	2^3	0.000053	1.210150
Send/Recv	2^4	0.000053	2.421306
Send/Recv	2^5	0.000054	4.716273
Send/Recv	2^6	0.000063	8.142934
Send/Recv	2^7	0.000078	13.194941
Send/Recv	2^8	0.000097	21.070067
Send/Recv	2^9	0.000136	30.169112
Send/Recv	2^10	0.000199	41.216262
Send/Recv	2^11	0.000315	52.077672
Send/Recv	2^12	0.000597	54.912607
Send/Recv	2^13	0.001668	39.297530
Send/Recv	2^14	0.002838	46.181261
Send/Recv	2^15	0.005101	51.391645
Send/Recv	2^16	0.010466	50.093080
Send/Recv	2^17	0.021737	48.238641
Send/Recv	2^18	0.042102	49.811762
Send/Recv	2^19	0.086276	48.615136
Send/Recv	2^20	0.171083	49.032373
Send/Recv	2^21	0.342956	48.919465
Send/Recv	2^22	0.691336	48.535669
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150540
Send/Recv	2^1	0.000053	0.301168
Send/Recv	2^2	0.000053	0.602740
Send/Recv	2^3	0.000053	1.206559
Send/Recv	2^4	0.000053	2.415075
Send/Recv	2^5	0.000060	4.296244
Send/Recv	2^6	0.000071	7.249256
Send/Recv	2^7	0.000079	13.007209
Send/Recv	2^8	0.000099	20.713336
Send/Recv	2^9	0.000134	30.553370
Send/Recv	2^10	0.000200	40.950070
Send/Recv	2^11	0.000312	52.452551
Send/Recv	2^12	0.000626	52.380652
Send/Recv	2^13	0.001493	43.898012
Send/Recv	2^14	0.002839	46.169020
Send/Recv	2^15	0.005388	48.649629
Send/Recv	2^16	0.010248	51.160136
Send/Recv	2^17	0.021137	49.608793
Send/Recv	2^18	0.041812	50.156942
Send/Recv	2^19	0.084977	49.358202
Send/Recv	2^20	0.172377	48.664302
Send/Recv	2^21	0.345991	48.490282
Send/Recv	2^22	0.690081	48.623922
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150491
Send/Recv	2^1	0.000053	0.301162
Send/Recv	2^2	0.000053	0.602502
Send/Recv	2^3	0.000053	1.206276
Send/Recv	2^4	0.000053	2.413083
Send/Recv	2^5	0.000057	4.481345
Send/Recv	2^6	0.000070	7.270393
Send/Recv	2^7	0.000080	12.867797
Send/Recv	2^8	0.000099	20.612573
Send/Recv	2^9	0.000111	36.816819
Send/Recv	2^10	0.000200	40.898754
Send/Recv	2^11	0.000350	46.825142
Send/Recv	2^12	0.000497	65.926151
Send/Recv	2^13	0.001593	41.148163
Send/Recv	2^14	0.002845	46.070872
Send/Recv	2^15	0.005091	51.486934
Send/Recv	2^16	0.009971	52.580123
Send/Recv	2^17	0.020185	51.949056
Send/Recv	2^18	0.043126	48.628002
Send/Recv	2^19	0.085648	48.971218
Send/Recv	2^20	0.172373	48.665326
Send/Recv	2^21	0.345174	48.605142
Send/Recv	2^22	0.691944	48.492974
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150519
Send/Recv	2^1	0.000053	0.301248
Send/Recv	2^2	0.000053	0.602846
Send/Recv	2^3	0.000053	1.206598
Send/Recv	2^4	0.000053	2.416233
Send/Recv	2^5	0.000067	3.849602
Send/Recv	2^6	0.000065	7.885253
Send/Recv	2^7	0.000079	13.037551
Send/Recv	2^8	0.000099	20.673608
Send/Recv	2^9	0.000109	37.657442
Send/Recv	2^10	0.000174	47.007112
Send/Recv	2^11	0.000278	58.975559
Send/Recv	2^12	0.000605	54.175147
Send/Recv	2^13	0.001489	43.999780
Send/Recv	2^14	0.002736	47.912614
Send/Recv	2^15	0.005225	50.172843
Send/Recv	2^16	0.010853	48.306658
Send/Recv	2^17	0.020381	51.449555
Send/Recv	2^18	0.042599	49.230507
Send/Recv	2^19	0.085956	48.795685
Send/Recv	2^20	0.171591	48.887298
Send/Recv	2^21	0.344168	48.747146
Send/Recv	2^22	0.689462	48.667593
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151052
Send/Recv	2^1	0.000053	0.302223
Send/Recv	2^2	0.000053	0.604421
Send/Recv	2^3	0.000053	1.210157
Send/Recv	2^4	0.000053	2.423533
Send/Recv	2^5	0.000053	4.854514
Send/Recv	2^6	0.000054	9.488293
Send/Recv	2^7	0.000075	13.639888
Send/Recv	2^8	0.000098	20.979773
Send/Recv	2^9	0.000104	39.291864
